"","countries","text"
"1","Denmark","34,000 [15,000 - 49,000]"
"2","Italy","630,000 [520,000 - 750,000]"
"3","Germany","560,000 [360,000 - 770,000]"
"4","Spain","450,000 [360,000 - 540,000]"
"5","United_Kingdom","470,000 [370,000 - 580,000]"
"6","France","690,000 [560,000 - 820,000]"
"7","Norway","12,000 [3,100 - 25,000]"
"8","Belgium","110,000 [87,000 - 130,000]"
"9","Austria","65,000 [40,000 - 86,000]"
"10","Sweden","25,000 [13,000 - 45,000]"
"11","Switzerland","52,000 [33,000 - 72,000]"
"2.5%","Total","3,100,000 [2,700,000 - 3,500,000]"
